i,d_cosine_ratio[i],d_coMat_ratio[i],s_cosine_ratio[i],s_coMat_ratio[i],countSq
0,0.28277009064,0.231026785714,0.282503220849,0.233151183971,206.0
1,0.493444750688,0.406703238897,0.498896317341,0.356361017763,6492.0
2,0.11752544704,0.112521150592,0.278786035781,0.151283205763,560.0
4,0.151942212228,0.253963759909,0.0645443597125,0.0443686006826,889.0
6,0.575980486973,0.469578270598,0.60900246512,0.312680777269,86046.0
7,0.357451403085,0.180752204913,0.635567505332,0.477326506071,5211.0
8,0.610234942227,0.368738782836,0.667392647541,0.368795999245,3623.0
9,0.552463811727,0.47431264729,0.617232044367,0.490419397586,6733.0
10,0.511709136868,0.348459999344,0.556164464433,0.394024375187,20597.0
11,0.307765106545,0.393698020382,0.434237323015,0.572132209981,2176.0
12,0.827829885528,0.476881644768,0.967204478044,0.632985993739,64998.0
13,0.431718447531,0.454125958693,0.615970514021,0.315215651401,18355.0
14,0.0923740404417,0.211351664078,0.165144441728,0.367958028088,52825.0
15,0.615133668511,0.572078748107,0.62827590346,0.577085394299,176886.0
16,0.295080163723,0.324926967318,0.613395587925,0.575842836512,20478.0
17,0.0536249555614,0.0445269016698,0.139627197504,0.115555555556,57.0
18,0.647757518317,0.417160482572,0.75266702611,0.48902869288,54653.0
19,0.347227095335,0.347431693989,0.451989695768,0.283317419179,5372.0
20,0.0246004624694,0.0121541246444,0.0926443354521,0.0424088210348,579.0
21,0.627854470569,0.467851820311,0.576791579495,0.28623415245,11774.0
22,0.362944166473,0.318437603443,0.538247010439,0.368439842913,337.0
23,0.413717223625,0.370549937664,0.513145096391,0.417631514425,25972.0
24,0.498874616092,0.340828737095,0.661388939246,0.427170646845,842.0
25,0.198912561469,0.206516887368,0.486976022742,0.598689532438,16514.0
26,0.500248979377,0.317488471089,0.556524104646,0.288045615415,1665.0
27,0.0413745698823,0.0672109360167,0.1345528273,0.244533600802,2258.0
28,0.73090600507,0.549391290138,0.836636455273,0.633937280784,35046.0
29,0.104805376848,0.105282532671,0.243246886093,0.206666666667,1147.0
30,0.172152849244,0.143561043859,0.338484920155,0.483779319458,5841.0
31,0.0357087447071,0.0571428571429,0.0899378512721,0.127450980392,9.0
32,0.127193444942,0.111046847889,0.162759450223,0.125472887768,203.0
33,0.0403627219839,0.0379008746356,0.0905185991593,0.281879194631,78.0
34,0.201668888489,0.0764407285757,0.366346872022,0.403637486968,22933.0
35,0.353652091443,0.317633191891,0.502453498952,0.410279483379,6395.0
36,0.293898028939,0.381738173817,0.412193342229,0.478260869565,88.0
37,0.0471806963666,0.0214059196617,0.133766032833,0.117684277127,1097.0
38,0.240728711107,0.219351110377,0.389909166968,0.708656558533,1872.0
39,0.23611810839,0.13131230258,0.410777288116,0.408738479544,7063.0
40,0.287221385855,0.179648657607,0.381904938629,0.29448491155,1680.0
41,0.239815808958,0.175823367065,0.249046860812,0.208204475168,9361.0
42,0.318990604279,0.38772404464,0.280222922281,0.391295862607,2297.0
43,0.517229335792,0.252425502426,0.577098624687,0.247443762781,442.0
44,0.61570223415,0.384888990878,0.798568842543,0.465953494331,2443.0
45,0.135146732171,0.192765396202,0.238472892067,0.424997314693,155421.0
46,0.180516970716,0.295717344754,0.244258397817,0.298702991592,6806.0
47,0.207481861453,0.156621205455,0.444484388875,0.517595307918,312.0
48,0.391254104272,0.352307364382,0.563529393663,0.331320389339,44653.0
49,0.742121537482,0.45540733283,0.846245874479,0.485764809903,2387.0
50,0.497228466782,0.285821580572,0.649719127077,0.298559787758,2145.0
51,0.391213044683,0.392529046204,0.487939126618,0.524570891136,8065.0
52,0.243407040892,0.335835788273,0.657815382172,0.388856284738,37078.0
53,0.0461829351554,0.119214586255,0.0406178622675,0.131048387097,191.0
55,0.070475577056,0.0847255369928,0.100178070642,0.128498727735,93.0
56,0.590131927445,0.598251568312,0.631473568174,0.590915344401,110562.0
57,0.260693422255,0.360342503766,0.59370341206,0.628454815669,13722.0
58,0.256755944447,0.488528845349,0.337419582279,0.404228432564,10569.0
59,0.631829350347,0.599842324586,0.66521481529,0.414198984017,7651.0
60,0.220074405488,0.207178393746,0.32705757802,0.364749082007,350.0
61,0.161569502356,0.154897739505,0.142001303964,0.121366710167,3497.0
62,0.11314867961,0.0480613893376,0.143110107337,0.13810137457,1530.0
63,0.247977508422,0.474956822107,0.4722284649,0.571612074502,428.0
64,0.499465993653,0.373729158194,0.683257460322,0.459630130807,452.0
65,0.554393708135,0.414224864452,0.631165863823,0.3582326984,273156.0
66,0.614934340563,0.613060324908,0.780271748545,0.527848051999,7763.0
67,0.00684656622809,0.00302114803625,0.0851404573746,0.171548117155,57.0
68,0.246392580322,0.345989304813,0.654773472222,0.459232778771,1825.0
69,0.470063383547,0.341523717837,0.543134418449,0.349418123387,52719.0
70,0.215563275011,0.315384615385,0.575747705941,0.581196581197,32.0
71,0.46037639051,0.458781362007,0.569938376305,0.521912350598,22.0
72,0.241421481798,0.329830053667,0.315744268004,0.308439897698,1127.0
73,0.518130355021,0.485725753851,0.546557980008,0.695652173913,5278.0
74,0.267951919834,0.399635036496,0.342986646753,0.379310344828,1115.0
75,0.138880019375,0.0748557759955,0.531527949917,0.512349588347,1953.0
76,0.17425017527,0.173558026407,0.253470075211,0.216348029653,1817.0
77,0.240104055046,0.161583824768,0.532427211402,0.262437059416,1274.0
78,0.0204791427225,0.0250659630607,0.0741478153777,0.0651230101302,140.0
79,0.683530302367,0.512013031085,0.879495928209,0.692093821172,11689.0
80,0.20961104263,0.305224187577,0.44143075369,0.590513219285,3362.0
81,0.304894141813,0.350487034648,0.418731954001,0.380274706203,13095.0
82,0.54058464806,0.591386622637,0.693629512165,0.631656336665,74785.0
83,0.112739384,0.106376262626,0.152806421195,0.146666666667,767.0
84,0.473418699667,0.382215458202,0.571770226346,0.400416136863,3599.0
86,0.473898493199,0.401320984995,0.509077793582,0.292898700885,4766.0
87,0.47567596929,0.317699255269,0.459063104614,0.358341534812,14670.0
